Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Dumbbell Lunge,"Upper Legs, Lower Legs, Glutes",Beginner,"Strength, Compound",Dumbbell,The dumbbell lunge exercise helps strengthen and build the legs through the use of dumbbells,"('Start by grabbing a dumbbell in each hand and standing with your feet about 8 inches apart and toes facing forward as this will be your starting position.', 'Once in position take a step forward (about 2 to 3 feet), keeping your abs tightly drawn and and your upper body straight.', 'Continue forward and slowly lower one knee down towards the ground and keeping the other knee bent at a 90 degree angle, not letting the back knee touch the ground.', 'Slowly lower one knee down as if kneeling while keeping your other knee bent at a 90 degree angle, do not let your knee touch the ground.', 'Hold the position for a count then return back up to the starting position.', 'Refrain from putting the pressure of your body on one knee as this can cause imbalance and incorrectly performing this exercise.', 'The knee you are leaning forward on should not move beyond the toe of this foot.')"
Dumbbell Seated Arnold Press,"Shoulders, Triceps",Intermediate,"Strength, Compound",Dumbbell,"The Dumbbell Seated Arnold Press is a variation of the traditional shoulder press that targets the deltoid muscles, with an emphasis on the anterior deltoids","('Sit on the edge of a bench or chair and place your hands next to your hips, gripping the edge', 'Keep your arms straight and your body close to the bench', 'Lower your body by bending your elbows, keeping them close to your body', 'At the bottom of the movement, your elbows should be at about a 90-degree angle', 'Push yourself back up by straightening your arms, bringing your body back to the starting position')"
Leg Raise,"Core, Core",Beginner,"Strength, Compound",Body Only,The leg raise is a core exercise that primarily targets the lower abdominal muscles,"('Lie flat on your back on the floor, a bench or an exercise mat', 'Tighten your abdominal muscles to stabilize your torso throughout the exercise', 'Slowly lift your legs up towards the ceiling, keeping them straight and together', 'Briefly pause at the top of the movement, maintaining tension in your core', 'Slowly lower your legs back to the starting position in a controlled manner, keeping them straight and together')"
Elliptical Training,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"The elliptical is a stationary exercise machine used to simulate walking, running or stair climbing",()
Barbell Preacher Curl,Biceps,Beginner,"Strength, Isolation",Barbell,The preacher curl exercise uses a special bench to help support the triceps and isolate the biceps to build bigger arms,"('Start off by adjusting the seat of a preacher bench so that your arms are level with the top of the bench.', 'Grab onto a bicep curl bar with an underhand (palms up) grip, keeping your arms shoulder-width apart, resting them against the bench, and extending them fully.', 'While keeping your arms on the bench, slowly curl the bar up towards your head, isolating the bicep and squeezing the muscles.', 'Hold for a count and then return back to the starting position.', 'Perform this exercise in a slow manner to attain the best results.')"
Cable Lower Chest Raise,"Chest, Chest, Shoulders",Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up handles on a low pulley cable machine, standing in between the machines, grabbing the handles with both hands and keeping your arms at your sides.', 'Slowly bring the handles together in front of your body at about waist level and squeeze your lower chest.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Shrug,Back,Beginner,"Strength, Isolation",Barbell,"The barbell shoulder shrug is a straightforward yet effective exercise for targeting the trapezius muscles, which are located on the upper back and neck","('Load the barbell with the desired weight', 'Stand with your feet shoulder-width apart', 'Inhale and brace your core', 'Exhale and slowly lower your shoulders back to the starting position')"
Dumbbell Front Raise,Shoulders,Beginner,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; start off standing up straight holding dumbbells in each hand resting at your pelvis.', 'Lift the dumbbells up and out so that they are extended in front of your shoulders, at your shoulder level, holding onto this position for a few seconds.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Machine Incline Chest Press,"Chest, Chest, Shoulders, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,The machine incline bench press is an exercise that focuses upon the upper portion of the pectoral muscles and is preferred by most people as it offers more stability for people new to the exercise,"('Start off by adjusting the seat of the bench so that the handles are aligned with the upper portion of your chest, keeping your back flat on the back padding and grabbing the handles with an overhand grip, as this will be your starting position.', 'Slowly press the handles forward until your hands are fully extended and you feel a stretch in your chest muscles.', 'Hold this position for a count then slowly return back to the starting position.', 'Repeat for as many reps and sets as desired.', 'Keep your shoulders and lower back against the bench at all times during this exercise.', 'Refrain from bouncing the handles back on the machine.')"
Cable Front Lat Pulldown (Close Grip),"Back, Biceps",Beginner,"Strength, Compound, Strength",Machine - Strength,"The close-grip font lat pulldown is a classic bodybuilder exercise use to target the back muscles, specifically the lower lats","('Start by sitting down at a pull-down machine and place your knees underneath the padding on the machine.', 'Grab onto the bar with a close overhand grip and pull the bar down straight until it is even with your upper chest.', 'Once in the final position hold for a count while squeezing the lat muscles and then slowly return back to the starting position.')"
Machine Assisted Pull-Up,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up the weight that will allow your body to lower towards the floor and that you would like to perform for this exercise, making sure that the knee rests are in position for your body to rest upon.', 'Climb onto the machine and place your knees upon the pad, then once in position grab the pull-up handles above you and lift yourself up towards the ceiling.', 'Squeeze your lat and back muscles as your body comes up towards the ceiling until your shoulders are at hand level and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
